idstatefrom,idaction,idstateto,probability,reward
0,0,0,1.0,5.0
0,1,0,0.421657365594869,0.0
0,1,1,0.578342634405131,0.0
1,0,0,1.0,5.0
1,1,0,0.137028976772708,0.0
1,1,1,0.284628388822161,0.0
1,1,2,0.578342634405131,0.0
2,0,1,1.0,5.0
2,1,1,0.137028976772708,0.0
2,1,2,0.284628388822161,0.0
2,1,3,0.578342634405131,0.0
3,0,2,1.0,5.0
3,1,2,0.137028976772708,0.0
3,1,3,0.284628388822161,0.0
3,1,4,0.578342634405131,0.0
4,0,3,1.0,5.0
4,1,3,0.137028976772708,0.0
4,1,4,0.284628388822161,0.0
4,1,5,0.578342634405131,0.0
5,0,4,1.0,5.0
5,1,4,0.137028976772708,0.0
5,1,5,0.284628388822161,0.0
5,1,6,0.578342634405131,0.0
6,0,5,1.0,5.0
6,1,5,0.137028976772708,0.0
6,1,6,0.284628388822161,0.0
6,1,7,0.578342634405131,0.0
7,0,6,1.0,5.0
7,1,6,0.137028976772708,0.0
7,1,7,0.284628388822161,0.0
7,1,8,0.578342634405131,0.0
8,0,7,1.0,5.0
8,1,7,0.137028976772708,0.0
8,1,8,0.284628388822161,0.0
8,1,9,0.578342634405131,0.0
9,0,8,1.0,5.0
9,1,8,0.137028976772708,0.0
9,1,9,0.284628388822161,0.0
9,1,10,0.578342634405131,0.0
10,0,9,1.0,5.0
10,1,9,0.137028976772708,0.0
10,1,10,0.284628388822161,0.0
10,1,11,0.578342634405131,0.0
11,0,10,1.0,5.0
11,1,10,0.137028976772708,0.0
11,1,11,0.284628388822161,0.0
11,1,12,0.578342634405131,0.0
12,0,11,1.0,5.0
12,1,11,0.137028976772708,0.0
12,1,12,0.284628388822161,0.0
12,1,13,0.578342634405131,0.0
13,0,12,1.0,5.0
13,1,12,0.137028976772708,0.0
13,1,13,0.284628388822161,0.0
13,1,14,0.578342634405131,0.0
14,0,13,1.0,5.0
14,1,13,0.137028976772708,0.0
14,1,14,0.284628388822161,0.0
14,1,15,0.578342634405131,0.0
15,0,14,1.0,5.0
15,1,14,0.137028976772708,0.0
15,1,15,0.284628388822161,0.0
15,1,16,0.578342634405131,0.0
16,0,15,1.0,5.0
16,1,15,0.137028976772708,0.0
16,1,16,0.284628388822161,0.0
16,1,17,0.578342634405131,0.0
17,0,16,1.0,5.0
17,1,16,0.137028976772708,0.0
17,1,17,0.284628388822161,0.0
17,1,18,0.578342634405131,0.0
18,0,17,1.0,5.0
18,1,17,0.137028976772708,0.0
18,1,18,0.284628388822161,0.0
18,1,19,0.578342634405131,0.0
19,0,18,1.0,5.0
19,1,18,0.137028976772708,0.0
19,1,19,0.862971023227292,86.2971023227292
